,file_name,response_0,response_1,response_2,response_3,SAM_Number_a_0,SAM_Number_a_1,SAM_Number_a_2,SAM_Number_a_3,SAM_Number_e_0,SAM_Number_e_1,SAM_Number_e_2,SAM_Number_e_3
41,VP047_111223_DigiRelax_Experiment_2023-12-11_14h40.20.997.csv,2,7,None,None,a4,a6,a4,a6,e2,e5,e1,e0
42,VP048_121223_DigiRelax_Experiment_2023-12-12_09h46.06.539.csv,None,6,None,None,a5,a1,a5,a5,e1,e5,e2,e1
43,VP049_121223_DigiRelax_Experiment_2023-12-12_13h41.48.891.csv,2,4,None,None,a3,a1,a4,a4,e0,e4,e0,e0
44,VP050_131223_DigiRelax_Experiment_2023-12-13_09h49.36.277.csv,2,6,2,None,a6,a0,a6,a6,e1,e6,e0,e0
45,VP051_131223_DigiRelax_Experiment_2023-12-13_13h12.46.570.csv,3.0,6.0,4.0,3.0,a4,a3,a4,a4,e3,e5,e3,e2
46,VP052_131223_DigiRelax_Experiment_2023-12-13_15h40.02.531.csv,5.0,5.0,3.0,3.0,a5,a2,a5,a5,e1,e4,e0,e1
47,VP053_141223_DigiRelax_Experiment_2023-12-14_09h43.01.217.csv,None,3,None,None,a5,a4,a5,a5,e2,e4,e1,e1
48,VP054_141223_DigiRelax_Experiment_2023-12-14_13h16.33.883.csv,1.0,6.0,1.0,1.0,a5,a5,a6,a6,e2,e5,e0,e0
49,VP055_141223_DigiRelax_Experiment_2023-12-14_15h45.35.483.csv,None,6,None,None,a5,a2,a6,a5,e2,e5,e0,e1
50,VP056_151223_DigiRelax_Experiment_2023-12-15_09h45.05.317.csv,2,4,None,2,a6,a2,a5,a5,e1,e3,e0,e1
51,VP057_151223_DigiRelax_Experiment_2023-12-15_15h00.46.722.csv,2.0,2.0,1.0,1.0,a4,a6,a4,a6,e2,e0,e1,e0
52,VP058_181223_DigiRelax_Experiment_2023-12-18_09h50.48.541.csv,5.0,6.0,4.0,5.0,a4,a2,a4,a3,e2,e5,e1,e3
53,VP059_181223_DigiRelax_Experiment_2023-12-18_14h46.34.198.csv,4,5,3,None,a6,a1,a6,a6,e2,e5,e0,e0
54,VP060_191223_DigiRelax_Experiment_2023-12-19_09h48.26.679.csv,2,4,None,None,a5,a3,a5,a5,e2,e2,e0,e0
55,VP061_191223_DigiRelax_Experiment_2023-12-19_15h10.55.419.csv,2.0,6.0,2.0,2.0,a4,a1,a5,a4,e1,e5,e1,e1
56,VP056_211223_DigiRelax_Experiment_2023-12-21_13h19.57.826.csv,2.0,3.0,3.0,2.0,a5,a4,a3,a2,e4,e5,e4,e2
57,VP063_040124_DigiRelax_Experiment_2024-01-04_14h59.12.423.csv,None,5,None,2,a3,a1,a6,a4,e4,e5,e0,e1
58,VP064_050124_DigiRelax_Experiment_2024-01-05_09h44.11.070.csv,2,6,None,None,a5,a0,a6,a5,e2,e5,e1,e0
59,VP066_080124_DigiRelax_Experiment_2024-01-08_13h36.32.476.csv,2,5,None,2,a5,a2,a4,a5,e1,e5,e1,e1
60,VP067_100124_DigiRelax_Experiment_2024-01-10_09h51.01.071.csv,3.0,5.0,3.0,3.0,a5,a4,a4,a5,e1,e4,e1,e1
61,VP068_100124_DigiRelax_Experiment_2024-01-10_14h41.55.244.csv,3.0,4.0,3.0,3.0,a5,a2,a5,a5,e1,e4,e1,e1
62,VP069_110124_DigiRelax_Experiment_2024-01-11_09h51.14.639.csv,None,2,None,None,a5,a4,a5,a5,e1,e2,e1,e1
63,VP070_110124_DigiRelax_Experiment_2024-01-11_14h48.50.074.csv,2,5,2,None,a6,a2,a6,a6,e5,e4,e0,e0
64,VP071_120124_DigiRelax_Experiment_2024-01-12_09h48.13.466.csv,1,6,1,None,a5,a6,a5,a5,e1,e6,e1,e0
65,VP072_120124_DigiRelax_Experiment_2024-01-12_14h45.23.547.csv,4.0,6.0,3.0,2.0,a5,a1,a2,a6,e1,e5,e1,e1
66,VP073_150124_DigiRelax_Experiment_2024-01-15_10h17.11.190.csv,1,5,None,None,a6,a4,a6,a6,e1,e4,e0,e0
67,VP074_170124_DigiRelax_Experiment_2024-01-17_09h52.17.376.csv,3.0,6.0,3.0,3.0,a5,a4,a4,a5,e2,e4,e1,e1
68,VP075_180124_DigiRelax_Experiment_2024-01-18_09h54.07.734.csv,None,3,None,None,a6,a3,a6,a6,e0,e3,e0,e0
69,VP077_240124_DigiRelax_Experiment_2024-01-24_09h41.27.985.csv,None,None,None,None,a4,a1,a5,a3,e1,e2,e1,e1
70,VP078_240124_DigiRelax_Experiment_2024-01-24_14h45.04.447.csv,3.0,7.0,4.0,4.0,a4,a0,a4,a4,e1,e6,e2,e1
71,VP079_250124_DigiRelax_Experiment_2024-01-25_11h20.02.642.csv,2.0,6.0,3.0,3.0,a6,a0,a4,a4,e0,e5,e1,e1
72,VP081_260124_DigiRelax_Experiment_2024-01-26_10h25.25.740.csv,5.0,5.0,3.0,2.0,a4,a2,a5,a5,e3,e5,e1,e1
73,VP082_260124_DigiRelax_Experiment_2024-01-26_14h12.56.165.csv,None,4,1,None,a6,a2,a6,a6,e0,e4,e0,e0
74,VP083_310124_DigiRelax_Experiment_2024-01-31_09h50.52.785.csv,4,7,4,None,a6,a1,a5,a5,e2,e5,e2,e0
75,VP084_310124_DigiRelax_Experiment_2024-01-31_13h14.59.762.csv,3.0,6.0,3.0,1.0,a5,a2,a4,a4,e2,e5,e0,e1
76,VP085_010224_DigiRelax_Experiment_2024-02-01_09h49.30.242.csv,1,3,None,None,a4,a3,a5,a5,e2,e4,e1,e1
77,VP086_010224_DigiRelax_Experiment_2024-02-01_14h19.56.788.csv,None,7,None,None,a1,a1,a6,a6,e0,e6,e0,e0
